#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.1	20	0.617477124112	0.994757411114	0.00762018528594
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.15	5	0.622441546443	0.943593314763	0.0957229297145
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.15	10	0.622441546443	0.978561299113	0.0258510657718
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.15	15	0.622441546443	0.990389479009	0.0125492356047
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.15	20	0.622441546443	0.994756911344	0.0080714513474
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.2	5	0.626730394415	0.942991392573	0.0954978682841
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.2	10	0.626730394415	0.975958738874	0.0264974385328
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.2	15	0.626730394415	0.990239160023	0.0124145080923
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.2	20	0.626730394415	0.99423891825	0.00779794757285
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.25	5	0.630208907656	0.941082008971	0.0982303215813
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.25	10	0.630208907656	0.976115267387	0.0267402798748
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.25	15	0.630208907656	0.990241436958	0.0126643989538
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.25	20	0.630208907656	0.994098610318	0.00771723559032
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.5	5	0.645410577104	0.937445902315	0.10169623386
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.5	10	0.645410577104	0.97191011236	0.0264933470885
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.5	15	0.645410577104	0.988677782086	0.0120137571983
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	0.5	20	0.645410577104	0.994003426613	0.00820687822304
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	1.0	5	0.667801557521	0.931807893329	0.11129582093
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	1.0	10	0.667801557521	0.969964858335	0.0273058579478
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	1.0	15	0.667801557521	0.988220706758	0.012930972494
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	1.0	20	0.667801557521	0.992588369441	0.00864812028592
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	2.0	5	0.701704668685	0.921877160477	0.133261412922
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	2.0	10	0.701704668685	0.964210411019	0.0327632003211
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	2.0	15	0.701704668685	0.986130481946	0.0158843040562
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	150000	2.0	20	0.701704668685	0.991690013771	0.00976908671205
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.0	5	0.61523365479	0.721913346712	0.435160875161
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.0	10	0.61523365479	0.821774469808	0.302532113972
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.0	15	0.61523365479	0.864280947614	0.239001101726
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.0	20	0.61523365479	0.880642731609	0.213260362462
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.05	5	0.636371435444	0.937576564581	0.114443457019
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.05	10	0.636371435444	0.979528980697	0.0350928882187
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.05	15	0.636371435444	0.990079365079	0.0168516322893
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.05	20	0.636371435444	0.993986716927	0.0109715790682
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.1	5	0.641975659527	0.93797240869	0.112287386364
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.1	10	0.641975659527	0.977243361548	0.0322212901686
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.1	15	0.641975659527	0.990065618241	0.0150381953123
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.1	20	0.641975659527	0.993555316864	0.00880870558724
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.15	5	0.64650965837	0.936164631507	0.110911661245
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.15	10	0.64650965837	0.975654594637	0.0308972932933
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.15	15	0.64650965837	0.989787327501	0.0145224366887
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.15	20	0.64650965837	0.993553008596	0.00956293155818
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.2	5	0.650624805362	0.93593125604	0.110937911993
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.2	10	0.650624805362	0.973589844261	0.0306550623875
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.2	15	0.650624805362	0.989275648768	0.015118538011
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.2	20	0.650624805362	0.993334228068	0.00927026799406
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.25	5	0.653805366003	0.933985266315	0.113545965986
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.25	10	0.653805366003	0.974045322669	0.0298949881243
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.25	15	0.653805366003	0.989287411795	0.0145124526784
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.25	20	0.653805366003	0.993250189978	0.00885870694172
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.5	5	0.668102534525	0.930514767714	0.117002981578
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.5	10	0.668102534525	0.968574693538	0.0308097293586
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.5	15	0.668102534525	0.988732086205	0.0129961482641
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	0.5	20	0.668102534525	0.993386361605	0.00881084483972
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	1.0	5	0.688787197512	0.925941719972	0.126334226235
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	1.0	10	0.688787197512	0.965925849267	0.0318659188413
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	1.0	15	0.688787197512	0.987098184999	0.015109948102
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	1.0	20	0.688787197512	0.99165513856	0.0098310749535
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	2.0	5	0.720061606114	0.914766721044	0.150357956329
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	2.0	10	0.720061606114	0.960750941255	0.0361634819132
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	2.0	15	0.720061606114	0.985718449432	0.0172750811359
#Trace	file_id	n_flows	beta	threshold	overall_are	f1_score	hhd_are
CAIDA	9619	160000	2.0	20	0.720061606114	0.990594213881	0.0106928996618
